StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Pima,2001,7,8.516830323,0.035549774,0.048658,0.201297274
AZ,Arizona,Pima,2001,8,10.39802097,0.034511483,0.239054,0.1855305
AZ,Arizona,Pima,2001,9,11.1572134,0.027931967,0.4848193,0.23354795
AZ,Arizona,Pima,2001,10,17.127311,0.022192226,0.884256661,0.325490871
AZ,Arizona,Pima,2001,11,18.103951,0.017403833,1.15939485,0.386496
AZ,Arizona,Pima,2001,12,22.4663181,0.013941742,1.160543097,0.492955258
AZ,Arizona,Pima,2002,1,24.29802044,0.014546259,1.339768778,0.457399778
AZ,Arizona,Pima,2002,2,19.58557429,0.022881,1.124614,0.415062143
AZ,Arizona,Pima,2002,3,17.21338032,0.030170677,0.880169468,0.479540661
AZ,Arizona,Pima,2002,4,13.12428633,0.033055567,0.8662376,0.320625533
AZ,Arizona,Pima,2002,5,13.11226045,0.037303742,0.869656645,0.285095177
AZ,Arizona,Pima,2002,6,13.19217177,0.0356444,1.029812167,0.348200517
AZ,Arizona,Pima,2002,7,10.92620806,0.035627645,0.59955671,0.207135
AZ,Arizona,Pima,2002,8,11.59813419,0.033478452,0.711564177,0.242022484
AZ,Arizona,Pima,2002,9,14.42688131,0.0285705,0.975526308,0.378022615
AZ,Arizona,Pima,2002,10,18.07869171,0.024610161,1.007727048,0.460700097
AZ,Arizona,Pima,2002,11,21.95942027,0.0199458,1.31476665,0.535673283
AZ,Arizona,Pima,2002,12,22.84447384,0.015491484,1.414711258,0.632990968
AZ,Arizona,Pima,2003,1,23.62411284,0.016458355,1.320570774,0.648096258
AZ,Arizona,Pima,2003,2,20.57911841,0.02106937,0.988693315,0.520380426
AZ,Arizona,Pima,2003,3,15.45092826,0.029803889,1.028215759,0.453213889
AZ,Arizona,Pima,2003,4,11.7208388,0.035569433,0.9376504,0.41510605
AZ,Arizona,Pima,2003,5,13.63681384,0.040607516,0.91787771,0.357313581
